LECROYMAUI,0,Waveform
Segments,1,SegmentSize,97102
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2019 04:01:05,0                 
Time,Ampl
1.55995e-05,-0.00024034827
1.56e-05,-0.00025068583
1.56005e-05,-0.00021708876
1.5601e-05,-0.00023776388
1.56015e-05,-0.00021450437
1.5602e-05,-0.00021967315
1.56025e-05,-0.00019641364
1.5603e-05,-0.00019641364
1.56035e-05,-0.00019382925
1.5604e-05,-0.00017573852
1.56045e-05,-0.00018607608
1.5605e-05,-0.00015764779
1.56055e-05,-0.00017832291
1.5606e-05,-0.00017056974
1.56065e-05,-0.00015764779
1.5607e-05,-0.00014472584
1.56075e-05,-0.00013438828
1.5608e-05,-0.00012146633
1.56085e-05,-0.00014472584
1.5609e-05,-0.0001550634
1.56095e-05,-0.00015764779
1.561e-05,-0.00018607608
1.56105e-05,-0.00016023218
1.5611e-05,-0.00018349169
1.56115e-05,-0.00017056974
1.5612e-05,-0.00019124486
1.56125e-05,-0.00017573852
1.5613e-05,-0.00018349169
1.56135e-05,-0.00018349169
1.5614e-05,-0.00015764779
1.56145e-05,-0.0001550634
1.5615e-05,-0.00014989462
1.56155e-05,-0.00013438828
1.5616e-05,-0.00011888194
1.56165e-05,-0.00011371316
1.5617e-05,-0.00011888194
1.56175e-05,-0.00012146633
1.5618e-05,-0.00011371316
1.56185e-05,-0.00010595999
1.5619e-05,-0.00011629755
1.56195e-05,-8.528487e-05
1.562e-05,-9.303804e-05
1.56205e-05,-8.528487e-05
1.5621e-05,-0.00011371316
1.56215e-05,-8.786926e-05
1.5622e-05,-0.00011888194
1.56225e-05,-0.00011629755
1.5623e-05,-0.00013955706
1.56235e-05,-0.00012663511
1.5624e-05,-0.00012146633
1.56245e-05,-0.00010854438
1.5625e-05,-0.00012663511
1.56255e-05,-0.00012146633
1.5626e-05,-0.00011112877
1.56265e-05,-0.00011371316
1.5627e-05,-9.820682e-05
1.56275e-05,-9.045365e-05
1.5628e-05,-0.00010595999
1.56285e-05,-7.236292e-05
1.5629e-05,-9.820682e-05
1.56295e-05,-7.236292e-05
1.563e-05,-8.528487e-05
1.56305e-05,-7.236292e-05
1.5631e-05,-9.303804e-05
